# The File can contains any number of empty lines and
# or starting with hash negliged by script
# The First meaningful line must contain the colum names
# Fallowing rows are traited as record.
# Fields must be quoted by single quote if strings or plain in case of Numeric values 


'filetype','description','nameregularexpression','headerseparation','"group"','invperiod','mngsngext','sngext','hdrext','dblext'
'S1FOS_ALL',     'FOS Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1FOS_ALL2',    'FOS Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'FOS_MAIL_TGZ',  'FOS ADF via Mail',                  'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'FOS_MAIL_EOF',  'FOS ADF via Mail',                  'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'FOS_MAIL_DBL',  'FOS ADF via Mail',                  'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1APRIP_AUX',   'Aux Files coming from PRIP',        'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1BPRIP_AUX',   'Aux Files coming from PRIP',        'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# Virtual File Type for Ingestion (S2)
'S2FOS_AUX_TGZ', 'FOS Auxiliaryfiles',       'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2FOS_AUX_EOF', 'FOS Auxiliaryfiles',       'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2FOS_AUX_DBL', 'FOS Auxiliaryfiles',       'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'CAMSFC_VIR',    'CAMS Forecast AUX',        'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2POD_AUX',     'POD Auxiliaryfiles',       'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2GIPP_FILE',   'GIPP Auxiliaryfiles',      'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2GIPP_FILEFTP','GIPP Auxiliaryfiles',      'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2FOS_ALL',     'FOS Auxiliaryfiles',       'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S2FOS_ALL2',    'FOS Auxiliaryfiles',       'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# Virtual File Type for Common Ingestion (S1,S2)
'MP_AUX_ALL', 'MissionPlanning Auxiliaryfiles', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'MP_AUX',     'MissionPlanning Auxiliaryfiles', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

################################################################################################################
#                                               SENTINEL-3                                                     #
################################################################################################################

######################## NOAA Files in orgin e SAFE format
'NOAA_1KM_IMSDLY', 'NOAA IMS 1KM DAILY FILES',   '^ims[0-9]{7}_1km_GIS_v[0-9.]+\.tif\.gz$',                                         'false', 'group0', 0, 'false', 'gz',   'NULL', 'NULL'
'SL_2_DIMSAX',     'SL_2_DIMSAX auxiliary file', '^S3[ABC_]_SL_2_DIMSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

########################  SAFE Format From EUMETSAT

# ECMWF filetype definition
'AX___MA1_AX', 'ECMWF grib1 Analysis data',    '^S3[ABC_]_AX___MA1_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AX___MA2_AX', 'ECMWF grib2 Analysis data',    '^S3[ABC_]_AX___MA2_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AX___MF1_AX', 'ECMWF grib1 Forecast data',    '^S3[ABC_]_AX___MF1_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AX___MF2_AX', 'ECMWF grib1 Forecast data',    '^S3[ABC_]_AX___MF2_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AX___MFA_AX', 'ECMWF Forecast+Analysis data', '^S3[ABC_]_AX___MFA_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# IERS filetype definition
'AX___BA__AX', 'Iers Bulletin auxiliary file', '^S3[ABC_]_AX___BA__AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AX___BB2_AX', 'Iers Bulletin auxiliary file', '^S3[ABC_]_AX___BB2_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# SALP filetype definition
'SR___MDO_AX', 'SR___MDO_AX auxiliary file',   '^S3[ABC_]_SR___MDO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR___POESAX', 'SR___POESAX auxiliary file',   '^S3[ABC_]_SR___POESAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_PMPSAX', 'SR_2_PMPSAX auxiliary file',   '^S3[ABC_]_SR_2_PMPSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_RMO_AX', 'SR_2_RMO_AX auxiliary file',   '^S3[ABC_]_SR_2_RMO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_PMO_AX', 'SR_2_PMO_AX auxiliary file',   '^S3[ABC_]_SR_2_PMO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_POL_AX', 'SR_2_POL_AX auxiliary file',   '^S3[ABC_]_SR_2_POL_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_PGI_AX', 'SR_2_PGI_AX auxiliary file',   '^S3[ABC_]_SR_2_PGI_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_RGI_AX', 'SR_2_RGI_AX auxiliary file',   '^S3[ABC_]_SR_2_RGI_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_1_USO_AX', 'SR_1_USO_AX auxiliary file',   '^S3[ABC_]_SR_1_USO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR___MGNSAX', 'SR___MGNSAX auxiliary file',   '^S3[ABC_]_SR___MGNSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# MSSL filetype definition
'SR_2_SIC_AX', 'SR_2_SIC_AX auxiliary file',   '^S3[ABC_]_SR_2_SIC_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# METOffice filetype definition
'SL_2_SSTAAX', 'METOffice auxiliary file',     '^S3[ABC_]_SL_2_SSTAAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# FOS filetype definition
'AX___FPO_AX', 'FOS Predicted Orbit File',     '^S3[ABC_]_AX___FPO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AX___FRO_AX', 'FOS Reconstituted Orbit File', '^S3[ABC_]_AX___FRO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'GN_1_MANHAX', 'FOS Manoeuvre Acceleration',   '^S3[ABC_]_GN_1_MANHAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'GN_1_MASSAX', 'FOS Sat Mass Properties Rep',  '^S3[ABC_]_GN_1_MASSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# OFFL POD filetype definition
'SR___MGNPAX', 'POD auxiliary file',           '^S3[ABC_]_SR___MGNPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR___POEPAX', 'POD auxiliary file',           '^S3[ABC_]_SR___POEPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_PCPPAX', 'POD auxiliary file',           '^S3[ABC_]_SR_2_PCPPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_PMPPAX', 'POD auxiliary file',           '^S3[ABC_]_SR_2_PMPPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# Misson Planning filetype definition
'AX___OSF_AX', 'Ref Orbit Scenario File',      '^S3[ABC_]_AX___OSF_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'MPL_DNPPF',   'MPL DNPPF Aux File',           '^S3[ABC_]_OPER_MPL_DNPPF__[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_.*\.[Ee][Oo][Ff]$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'MPL__NPPF',   'MPL NPPF Aux File',            '^S3[ABC_]_OPER_MPL__NPPF__[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_.*\.[Ee][Oo][Ff]$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

########################  Files From POD
'S3_AUX_POEORB',    'Precise Ephemieris Orbit',   '^S3[ABC_]_(TEST|OPER|REP[1-9]|TD[0-9]{2})_AUX_POEORB_.{4}_[0-9]{8}T[0-9]{6}_V[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}.*\.EOF$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AUX_GNSSRD',    'GNSSRD Pod files',           '^S3[ABC_]_(TEST|OPER|REP[1-9]|TD[0-9]{2})_AUX_GNSSRD_.{4}_[0-9]{8}T[0-9]{6}_V[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}.*\.TGZ$', 'false', 'group0', 0, 'false', 'TGZ',  'NULL', 'NULL'
'S3_AUX_GNSSRDTMP', 'GNSSRD Pod files',           '^S3[ABC_]_(TEST|OPER|REP[1-9]|TD[0-9]{2})_AUX_GNSSRD_.{4}_[0-9]{8}T[0-9]{6}_V[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}.*\.HDR',  'true',  'group0', 0, 'false', 'NULL', 'HDR',  'DBL'

########################  ToADC
'MW_1_DNB_AX', 'auxiliary file for ADC',       '^S3[ABC_]_MW_1_DNB_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'MW_1_NIR_AX', 'auxiliary file for ADC',       '^S3[ABC_]_MW_1_NIR_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_NRPPAX', 'auxiliary file for ADC',       '^S3[ABC_]_SR_2_NRPPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR___ROE_AX', 'auxiliary file for ADC',       '^S3[ABC_]_SR___ROE_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SL_1_VSC_AX', 'auxiliary file for ADC',       '^S3[ABC_]_SL_1_VSC_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_1_CA2CAX', 'auxiliary file for ADC',       '^S3[ABC_]_SR_1_CA2CAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_1_CA2KAX', 'auxiliary file for ADC',       '^S3[ABC_]_SR_1_CA2KAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_1_CA1SAX', 'auxiliary file for ADC',       '^S3[ABC_]_SR_1_CA1SAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_1_CA1LAX', 'auxiliary file for ADC',       '^S3[ABC_]_SR_1_CA1LAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

######################## NOAA Files in orgin e SAFE format
'OSIICE_RPRO_20N', 'OSI ICE North Repro before 2020',  '^ice_conc_nh_ease2-250_cdr-v3p0_[0-9]{8}1200\.nc$',  'false', 'group0', 0, 'false', 'nc', 'NULL', 'NULL'
'OSIICE_RPRO_21N', 'OSI ICE North Repro 2021 onwards', '^ice_conc_nh_ease2-250_icdr-v3p0_[0-9]{8}1200\.nc$', 'false', 'group0', 0, 'false', 'nc', 'NULL', 'NULL'
'OSIICE_SYSTEM_N', 'OSI ICE North Systematic prod',    '^ice_conc_nh_ease2-250_icdrft-v3p0_[0-9]{8}1200\.nc$', 'false', 'group0', 0, 'false', 'nc', 'NULL', 'NULL'
'OSIICE_RPRO_20S', 'OSI ICE South Repro before 2020',  '^ice_conc_sh_ease2-250_cdr-v3p0_[0-9]{8}1200\.nc$',  'false', 'group0', 0, 'false', 'nc', 'NULL', 'NULL'
'OSIICE_RPRO_21S', 'OSI ICE South Repro 2021 onwards', '^ice_conc_sh_ease2-250_icdr-v3p0_[0-9]{8}1200\.nc$', 'false', 'group0', 0, 'false', 'nc', 'NULL', 'NULL'
'OSIICE_SYSTEM_S', 'OSI ICE South Systematic prod',    '^ice_conc_sh_ease2-250_icdrft-v3p0_[0-9]{8}1200\.nc$', 'false', 'group0', 0, 'false', 'nc', 'NULL', 'NULL'
'SR_2_SICNAX',    'SR_2_SICNAX auxiliary file', '^S3[ABC_]_SR_2_SICNAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_SICSAX',    'SR_2_SICSAX auxiliary file', '^S3[ABC_]_SR_2_SICSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_SIFNAX',    'SR_2_SIFNAX auxiliary file', '^S3[ABC_]_SR_2_SIFNAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'SR_2_SIFSAX',    'SR_2_SIFSAX auxiliary file', '^S3[ABC_]_SR_2_SIFSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

######################## Unavailability Report
'S3REP_SUP',       'Unavailability Reports',  '^S3[ABC_]_.*_REP__SUP___[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{4}\..*',          'false', 'group0', 0, 'false', 'NULL',  'NULL', 'NULL'
################################################################################################################
#                                               SENTINEL-1                                                     #
################################################################################################################

########################  SAFE Format From Cal/Cal (MPC)
'AUX_PP1', 'L1 Processor Parameters',         '^S1[ABC_].*AUX_PP1_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_CAL', 'Calibration Parameters',          '^S1[ABC_].*AUX_CAL_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_INS', 'Instrument Aux Data',             '^S1[ABC_].*AUX_INS_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_PP2', 'L2 Processor Parameters',         '^S1[ABC_].*AUX_PP2_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_SCS', 'Simulated Cross Spectra',         '^S1[ABC_].*AUX_SCS_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_SCF', 'Aux SETAP Configuration File',    '^S1[ABC_].*AUX_SCF_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_ITC', 'SETAP aux instr timing cal prod', '^S1[ABC_].*AUX_ITC_.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

########################  GRIB Format From ECMWF
'AUX_TRO_129',  'Tropospheric model Aux Data 129', '^ECMWF_OPER_ML00_06H_129_GP_N640_[0-9]{8}T[0-9]{6}$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_TRO_130',  'Tropospheric model Aux Data 130', '^ECMWF_OPER_ML00_06H_130_GP_N640_[0-9]{8}T[0-9]{6}$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_TRO_133',  'Tropospheric model Aux Data 133', '^ECMWF_OPER_ML00_06H_133_GP_N640_[0-9]{8}T[0-9]{6}$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_TRO_134',  'Tropospheric model Aux Data 134', '^ECMWF_OPER_ML00_06H_134_GP_N640_[0-9]{8}T[0-9]{6}$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_TRO_151',  'Tropospheric model Aux Data 151', '^ECMWF_OPER_ML00_06H_151_GP_N640_[0-9]{8}T[0-9]{6}$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUXTRO129_OR', 'Tropospheric model Aux Data 129', '^[tT]1[dDsS][0-9]{16}1$',                             'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUXTRO130_OR', 'Tropospheric model Aux Data 130', '^[tT]2[dDsS][0-9]{16}1$',                             'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUXTRO133_OR', 'Tropospheric model Aux Data 133', '^[tT]3[dDsS][0-9]{16}1$',                             'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUXTRO134_OR', 'Tropospheric model Aux Data 134', '^[tT]4[dDsS][0-9]{16}1$',                             'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUXTRO151_OR', 'Tropospheric model Aux Data 151', '^[tT]5[dDsS][0-9]{16}1$',                             'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_WND_OR',   'ECMWF Atmospheric Model',         '^[aA]1[dD][0-9]{16}1$',                               'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

########################  NetCDF Format From Ifremer
'AUX_WAV_OR',  'Wavewatch III Model',             '^IFR_WW3-GLOBAL-30MIN.*nc$',                          'false', 'group0', 0, 'false', 'nc',   'NULL', 'NULL'

########################  NetCDF Format From OSI SAF
'ICE_EDGENH',  'Sea ice aux data North',          '^ice_edge_[nN][hH].*_[0-9]{12}.*nc$',                 'false', 'group0', 0, 'false', 'nc',   'NULL', 'NULL'
'ICE_EDGESH',  'Sea ice aux data South',          '^ice_edge_[sS][hH].*_[0-9]{12}.*nc$',                 'false', 'group0', 0, 'false', 'nc',   'NULL', 'NULL'

########################  GRIB Format From GDC NASA
'AUX_TEC_OR',  'Ionospheric model Aux Data',      '^[cC][oO][dD][gG][0-9]{3}0\.[0-9]{2}[iI]\.Z$',        'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUX_TEC_OR2', 'Ionospheric model Aux Data',      '^COD0OPSFIN_[0-9]{11}_01D_01H_GIM.INX',               'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

########################  EOF Format From Production
'AMH_ERRMAT', 'Excitation Coeff Error Matrix', '^S1[ABC_]_(TEST|OPER|REP[1-9]|TD[0-9]{2})_AMH_ERRMAT_MPC__[0-9]{8}T[0-9]{6}_V[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}.*$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AMV_ERRMAT', 'Excitation Coeff Error Matrix', '^S1[ABC_]_(TEST|OPER|REP[1-9]|TD[0-9]{2})_AMV_ERRMAT_MPC__[0-9]{8}T[0-9]{6}_V[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}.*$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

########################  Files From FOS
'S1REP_SUP',       'Unavailability Reports',  '^S1[ABC_]_.*_REP__SUP___[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{4}\.EOF$',                    'false', 'group0', 0, 'false', 'EOF',  'NULL', 'NULL'
'S1MPL_ORBPRE',    'FOS Predicted Orbit',     '^S1[ABC_]_.*_MPL_ORBPRE_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{4}\.EOF$',                    'false', 'group0', 0, 'false', 'EOF',  'NULL', 'NULL'
